Rk,Team,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,ChicagoBulls,30.7,68,14,10.80,-0.11,10.70,114.4,102.4,90.0,.267,.203,.547,.511,12.5,35.9,.199,.471,14.8,69.3,.196,UnitedCenter,978457
2,UtahJazz,29.6,64,18,8.79,-0.82,7.97,113.6,104.0,90.0,.389,.145,.581,.530,14.7,29.7,.299,.480,15.5,71.6,.290,DeltaCenter,811439
3,SeattleSuperSonics,30.0,62,20,7.68,-0.77,6.91,111.2,102.7,90.3,.358,.247,.557,.510,14.2,30.9,.269,.490,17.7,69.1,.242,KeyArenaatSeattleCenter,699952
4,MiamiHeat,27.2,57,25,5.49,0.07,5.56,106.8,100.6,88.2,.324,.299,.546,.507,15.5,29.2,.233,.465,15.6,70.6,.248,MiamiArena,615160
5,AtlantaHawks,28.8,57,25,5.44,0.08,5.52,108.5,102.3,86.8,.310,.291,.542,.498,14.6,31.5,.236,.472,15.0,69.2,.191,OmniColiseum,549414
6,DetroitPistons,28.2,57,25,5.24,0.20,5.45,110.6,104.4,84.5,.327,.246,.554,.512,13.0,27.5,.244,.487,14.6,70.4,.197,ThePalaceofAuburnHills,784234
7,HoustonRockets,30.8,54,28,4.48,-0.62,3.85,108.8,104.0,91.6,.307,.284,.560,.520,15.6,28.4,.232,.481,13.3,71.4,.190,TheSummit,667685
8,LosAngelesLakers,26.5,53,29,4.27,-0.61,3.66,108.3,103.7,91.1,.351,.226,.535,.496,13.7,31.6,.243,.478,15.1,68.5,.231,GreatWesternForum,697159
9,PortlandTrailBlazers,26.4,53,29,4.17,-0.61,3.56,107.9,103.3,90.9,.350,.217,.544,.503,15.4,32.5,.249,.471,14.3,72.4,.268,RoseGardenArena,852798
10,NewYorkKnicks,29.7,50,32,3.12,0.18,3.31,104.4,101.0,90.5,.340,.208,.546,.501,17.0,30.5,.255,.463,15.4,73.4,.279,MadisonSquareGarden(IV),790520
