Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PA/G
1,New York Knicks*,82,19930,2822,6621,.426,230,753,.305,2592,5868,.442,1949,2582,.755,1031,2325,3356,1658,657,384,1360,2010,7823,95.4
2,Chicago Bulls*,82,19830,3139,6622,.474,247,685,.361,2892,5937,.487,1584,2033,.779,1039,2265,3304,1918,595,357,1372,1731,8109,98.9
3,Houston Rockets*,82,19780,3255,7129,.457,242,730,.332,3013,6399,.471,1432,1877,.763,1167,2295,3462,1965,717,327,1228,1793,8184,99.8
4,Seattle SuperSonics*,82,19780,3143,6707,.469,272,808,.337,2871,5899,.487,1746,2299,.759,1075,2220,3295,1835,655,406,1516,1853,8304,101.3
5,Cleveland Cavaliers*,82,19830,3370,7229,.466,229,695,.329,3141,6534,.481,1334,1742,.766,1115,2379,3494,2109,610,365,1203,1828,8303,101.3
6,New Jersey Nets*,82,19780,3231,6945,.465,201,618,.325,3030,6327,.479,1665,2248,.741,1102,2345,3447,1786,780,416,1304,1881,8328,101.6
7,Detroit Pistons,82,19780,3321,6906,.481,261,769,.339,3060,6137,.499,1463,1987,.736,1099,2442,3541,2048,623,363,1219,1804,8366,102.0
8,San Antonio Spurs*,82,19855,3290,7177,.458,270,747,.361,3020,6430,.470,1583,2051,.772,1082,2388,3470,1905,655,373,1131,1998,8433,102.8
9,Boston Celtics*,82,19780,3232,6980,.463,216,650,.332,3016,6330,.476,1749,2269,.771,1094,2378,3472,1971,637,386,1181,1676,8429,102.8
10,Utah Jazz*,82,19755,3258,6970,.467,272,836,.325,2986,6134,.487,1743,2343,.744,1120,2314,3434,1928,648,468,1291,1970,8531,104.0
11,Orlando Magic,82,19880,3307,7255,.456,248,754,.329,3059,6501,.471,1682,2306,.729,1166,2271,3437,2091,715,401,1119,1975,8544,104.2
12,Miami Heat,82,20005,3232,6791,.476,265,781,.339,2967,6010,.494,1860,2416,.770,1032,2424,3456,1965,656,426,1304,2053,8589,104.7
13,Portland Trail Blazers*,82,19905,3337,7125,.468,277,811,.342,3060,6314,.485,1692,2226,.760,1022,2527,3549,2059,649,452,1404,2089,8643,105.4
14,Los Angeles Lakers*,82,19830,3438,7116,.483,245,726,.337,3193,6390,.500,1529,2050,.746,1158,2411,3569,2130,686,384,1334,1872,8650,105.5
15,Minnesota Timberwolves,82,19855,3323,6814,.488,208,578,.360,3115,6236,.500,1830,2413,.758,1122,2331,3453,2144,734,494,1231,1875,8684,105.9
16,Milwaukee Bucks,82,19730,3303,6843,.483,269,783,.344,3034,6060,.501,1823,2437,.748,1269,2398,3667,2087,773,456,1476,1810,8698,106.1
17,Indiana Pacers*,82,19755,3262,6955,.469,216,706,.306,3046,6249,.487,1957,2635,.743,1189,2345,3534,1987,693,387,1178,1979,8697,106.1
18,Phoenix Suns*,82,19730,3500,7307,.479,250,750,.333,3250,6557,.496,1502,2078,.723,1118,2316,3434,2107,708,512,1328,2041,8752,106.7
19,Los Angeles Clippers*,82,19805,3311,7051,.470,275,790,.348,3036,6261,.485,1857,2434,.763,1179,2437,3616,1970,765,453,1445,1772,8754,106.8
20,Denver Nuggets,82,19830,3324,7214,.461,222,647,.343,3102,6567,.472,1899,2517,.754,1159,2505,3664,1890,750,503,1340,1983,8769,106.9
21,Atlanta Hawks*,82,19830,3509,7074,.496,281,833,.337,3228,6241,.517,1586,2092,.758,1080,2413,3493,2189,735,363,1363,1881,8885,108.4
22,Washington Bullets,82,19805,3557,7214,.493,239,712,.336,3318,6502,.510,1577,2106,.749,1135,2555,3690,2062,718,425,1279,1818,8930,108.9
23,Philadelphia 76ers,82,19930,3666,7548,.486,280,782,.358,3386,6766,.500,1417,1878,.755,1258,2634,3892,2406,781,491,1290,1790,9029,110.1
24,Charlotte Hornets*,82,19755,3634,7698,.472,234,753,.311,3400,6945,.490,1548,2080,.744,1350,2403,3753,2277,599,438,1245,1923,9050,110.4
25,Golden State Warriors,82,19905,3471,7197,.482,272,794,.343,3199,6403,.500,1881,2492,.755,1174,2345,3519,2098,824,457,1350,1993,9095,110.9
26,Sacramento Kings,82,19780,3420,7024,.487,213,680,.313,3207,6344,.506,2054,2711,.758,1138,2562,3700,2073,767,551,1466,2010,9107,111.1
27,Dallas Mavericks,82,19730,3401,6783,.501,234,653,.358,3167,6130,.517,2351,3071,.766,1063,2740,3803,2047,802,520,1273,1861,9387,114.5
