
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0.0,OWS,DWS,WS,WS/48,0.0,OBPM,DBPM,BPM,VORP
1,QuincyAcy,SF,23,TOT,63,847,10.1,.520,.106,.376,9.5,19.5,14.4,4.9,1.4,2.5,15.4,10.1,0.0,0.6,0.9,1.5,.086,0.0,-2.5,1.4,-1.1,0.2
1,QuincyAcy,SF,23,TOR,7,61,17.2,.542,.357,.571,9.5,19.2,14.3,10.1,3.4,3.9,10.2,14.5,0.0,0.1,0.1,0.2,.188,0.0,0.5,3.7,4.1,0.1
1,QuincyAcy,SF,23,SAC,56,786,9.6,.518,.079,.354,9.5,19.5,14.4,4.4,1.2,2.4,16.0,9.8,0.0,0.5,0.7,1.3,.078,0.0,-2.8,1.2,-1.5,0.1
2,StevenAdams,C,20,OKC,81,1197,11.2,.541,.000,.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,0.0,0.9,1.9,2.9,.114,0.0,-2.1,2.4,0.3,0.7
3,JeffAdrien,PF,27,TOT,53,961,17.4,.553,.000,.433,11.8,24.8,18.2,6.8,1.3,3.0,10.6,17.3,0.0,1.6,1.1,2.7,.134,0.0,-1.4,0.3,-1.1,0.2
3,JeffAdrien,PF,27,CHA,25,256,14.9,.559,.000,.625,14.5,24.4,19.4,4.1,1.4,4.6,13.6,10.6,0.0,0.4,0.5,0.9,.170,0.0,-2.5,2.9,0.4,0.2
3,JeffAdrien,PF,27,MIL,28,705,18.4,.552,.000,.400,10.9,25.0,17.7,7.7,1.3,2.4,10.1,19.7,0.0,1.2,0.6,1.8,.121,0.0,-0.9,-0.7,-1.6,0.1
4,ArronAfflalo,SG,28,ORL,73,2552,16.0,.574,.297,.332,1.4,10.2,5.8,16.9,0.7,0.1,11.2,23.3,0.0,4.3,1.0,5.3,.099,0.0,1.7,-2.3,-0.6,0.9
5,AlexisAjinca,C,25,NOP,56,951,14.6,.589,.004,.269,11.3,22.7,16.9,6.6,1.3,4.1,18.4,16.3,0.0,1.2,0.9,2.1,.104,0.0,-1.5,0.8,-0.7,0.3
6,ColeAldrich,C,25,NYK,46,330,19.1,.620,.000,.492,12.8,33.8,23.0,6.4,1.3,8.1,19.5,13.0,0.0,0.6,0.6,1.2,.178,0.0,-2.6,3.8,1.2,0.3
7,LaMarcusAldridge,PF,28,POR,69,2498,21.8,.507,.011,.253,7.2,25.5,16.5,13.0,1.3,1.9,7.2,29.8,0.0,4.0,3.5,7.5,.144,0.0,-0.4,0.7,0.3,1.5
8,LavoyAllen,PF,24,TOT,65,1072,12.5,.470,.043,.167,11.7,20.0,15.7,10.1,1.1,2.4,12.0,14.6,0.0,0.6,0.9,1.5,.066,0.0,-3.1,0.3,-2.8,-0.2
8,LavoyAllen,PF,24,PHI,51,960,11.9,.464,.049,.150,11.5,20.0,15.6,10.2,1.1,2.2,12.4,14.3,0.0,0.4,0.7,1.1,.053,0.0,-3.3,0.1,-3.2,-0.3
8,LavoyAllen,PF,24,IND,14,112,17.5,.521,.000,.294,13.7,20.1,17.1,9.0,0.9,4.1,9.4,17.3,0.0,0.2,0.2,0.4,.180,0.0,-1.7,2.2,0.4,0.1
9,RayAllen,SG,38,MIA,73,1936,12.8,.590,.569,.214,1.6,11.4,6.7,11.1,1.5,0.4,12.4,16.8,0.0,2.5,1.5,4.1,.101,0.0,1.3,-1.2,0.1,1.0
10,TonyAllen,SG,32,MEM,55,1278,15.6,.531,.114,.293,7.3,12.0,9.6,11.7,3.8,1.2,16.2,20.1,0.0,0.5,2.1,2.7,.100,0.0,-0.1,2.4,2.3,1.4
11,Al-FarouqAminu,SF,23,NOP,80,2045,13.2,.516,.097,.277,7.2,21.2,14.1,8.4,2.1,1.6,13.7,14.3,0.0,1.3,1.8,3.1,.072,0.0,-1.4,1.0,-0.3,0.9
12,LouAmundson,PF,31,TOT,19,185,9.1,.446,.000,.750,17.3,17.2,17.3,4.7,2.5,5.0,24.8,13.9,0.0,-0.1,0.2,0.1,.024,0.0,-3.4,2.1,-1.3,0.0
12,LouAmundson,PF,31,NOP,18,184,9.2,.446,.000,.750,17.4,17.3,17.4,4.7,2.5,5.0,24.8,14.0,0.0,-0.1,0.2,0.1,.024,0.0,-3.4,2.1,-1.3,0.0
12,LouAmundson,PF,31,CHI,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,.029,0.0,-7.3,1.0,-6.3,0.0
13,ChrisAndersen,C,35,MIA,72,1396,18.5,.683,.044,.615,12.1,21.7,17.1,2.1,1.2,6.1,13.2,13.8,0.0,3.8,2.2,6.0,.205,0.0,0.1,1.5,1.6,1.3
14,AlanAnderson,SF,31,BRK,78,1773,9.5,.525,.511,.243,2.7,9.1,5.9,7.3,1.4,0.5,10.4,15.9,0.0,0.8,0.9,1.7,.047,0.0,-0.8,-1.4,-2.2,-0.1
15,JamesAnderson,SG,24,PHI,80,2309,10.9,.530,.490,.148,2.7,11.7,7.0,9.9,1.6,1.0,12.2,15.9,0.0,0.9,0.9,1.9,.039,0.0,-1.2,-1.3,-2.5,-0.3
16,RyanAnderson,PF,25,NOP,22,795,18.8,.572,.463,.175,9.5,11.3,10.4,3.6,0.7,0.7,5.0,22.9,0.0,2.2,0.1,2.3,.138,0.0,4.3,-4.5,-0.1,0.4
17,GiannisAntetokounmpo,SF,19,MIL,77,1897,10.8,.518,.282,.483,4.6,16.3,10.2,12.1,1.7,2.6,19.4,15.0,0.0,0.1,1.1,1.2,.031,0.0,-2.5,0.7,-1.8,0.1
18,CarmeloAnthony,PF,29,NYK,77,2982,24.4,.561,.253,.329,5.6,19.4,12.3,15.8,1.7,1.5,9.5,32.4,0.0,8.1,2.5,10.7,.172,0.0,4.6,-1.0,3.6,4.2
19,JoelAnthony,C,31,TOT,33,186,8.1,.394,.000,.250,9.1,14.6,11.8,1.6,0.8,5.2,7.8,9.3,0.0,0.0,0.2,0.2,.044,0.0,-5.7,1.0,-4.7,-0.1
19,JoelAnthony,C,31,MIA,12,37,8.0,.436,.000,.333,7.1,16.4,11.9,0.0,0.0,9.4,12.7,10.2,0.0,0.0,0.0,0.0,.049,0.0,-7.3,0.8,-6.6,0.0
19,JoelAnthony,C,31,BOS,21,149,8.1,.384,.000,.231,9.6,14.1,11.8,1.9,1.0,4.1,6.5,9.1,0.0,0.0,0.1,0.1,.043,0.0,-5.3,1.1,-4.2,-0.1
20,PeroAntic,PF,31,ATL,50,925,11.7,.545,.582,.224,7.2,18.9,13.1,9.8,1.0,1.0,14.5,18.6,0.0,0.5,0.9,1.4,.075,0.0,-0.5,-0.9,-1.4,0.1
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0.0,OWS,DWS,WS,WS/48,0.0,OBPM,DBPM,BPM,VORP
21,TrevorAriza,SF,28,WAS,77,2723,15.8,.590,.518,.226,4.1,16.3,10.1,10.8,2.4,0.6,12.3,17.8,0.0,4.3,3.7,8.0,.141,0.0,2.3,1.1,3.4,3.6
22,HiltonArmstrong,C,29,GSW,15,97,17.0,.480,.000,.842,21.8,31.0,26.5,7.1,2.1,3.1,18.7,14.5,0.0,0.1,0.2,0.3,.162,0.0,-2.5,3.1,0.6,0.1
23,DarrellArthur,SF,25,DEN,68,1161,9.4,.459,.156,.151,4.8,14.7,9.8,8.0,1.6,3.0,11.7,18.1,0.0,-0.5,1.2,0.7,.029,0.0,-3.8,1.0,-2.8,-0.2
24,OmerAsik,C,27,HOU,48,968,14.0,.570,.000,.663,12.3,30.1,21.7,3.8,0.7,2.8,19.4,13.8,0.0,1.0,1.5,2.4,.121,0.0,-3.1,0.7,-2.4,-0.1
25,D.J.Augustin,PG,26,TOT,71,1939,16.2,.569,.462,.316,0.9,6.7,3.8,28.9,1.5,0.1,13.3,22.4,0.0,3.8,2.4,6.2,.154,0.0,2.6,-2.2,0.4,1.2
25,D.J.Augustin,PG,26,TOR,10,82,1.2,.394,.458,.250,0.0,5.7,2.8,18.4,0.6,0.0,25.3,19.8,0.0,-0.2,0.0,-0.2,-0.112,0.0,-7.4,-3.7,-11.2,-0.2
25,D.J.Augustin,PG,26,CHI,61,1857,16.8,.574,.463,.318,0.9,6.7,3.9,29.3,1.5,0.1,12.8,22.5,0.0,4.0,2.4,6.4,.166,0.0,3.1,-2.1,1.0,1.4
26,GustavoAyon,C,28,ATL,26,429,12.9,.505,.000,.196,11.4,22.3,16.9,10.0,3.0,1.8,20.7,14.8,0.0,0.0,0.7,0.7,.078,0.0,-3.2,3.0,-0.2,0.2
27,JeffAyres,PF,26,SAS,73,952,11.1,.605,.000,.316,11.0,19.2,15.3,8.6,0.7,1.9,24.1,12.4,0.0,1.0,1.4,2.4,.121,0.0,-1.6,2.1,0.5,0.6
28,ChrisBabb,SG,23,BOS,14,132,3.7,.367,.900,.000,3.3,11.5,7.3,3.3,2.3,0.0,9.1,11.1,0.0,-0.1,0.1,0.0,-0.008,0.0,-3.7,-0.7,-4.4,-0.1
29,LukeBabbitt,PF,24,NOP,27,473,12.1,.525,.617,.117,4.4,17.5,10.8,9.4,0.8,1.9,8.5,17.0,0.0,0.5,0.2,0.7,.074,0.0,0.5,-1.9,-1.4,0.1
30,LeandroBarbosa,PG,31,PHO,20,368,11.5,.506,.191,.298,1.5,9.7,5.6,13.4,1.0,0.8,11.4,20.0,0.0,0.2,0.2,0.4,.058,0.0,-2.2,-1.8,-3.9,-0.2
31,J.J.Barea,PG,29,MIN,79,1471,11.6,.471,.352,.152,1.2,10.5,5.7,32.7,0.9,0.0,15.2,23.9,0.0,-0.1,0.9,0.7,.024,0.0,-0.9,-2.7,-3.6,-0.6
32,AndreaBargnani,C,28,NYK,42,1257,14.5,.510,.215,.203,6.3,14.7,10.4,6.1,0.6,3.7,9.6,22.4,0.0,0.8,0.7,1.5,.058,0.0,-1.4,-1.0,-2.4,-0.1
33,HarrisonBarnes,SF,21,GSW,78,2204,9.8,.486,.280,.267,3.3,11.9,7.7,7.6,1.5,0.7,10.0,16.8,0.0,0.4,2.8,3.2,.070,0.0,-2.3,0.9,-1.4,0.3
34,MattBarnes,SF,33,LAC,63,1735,12.0,.552,.537,.171,4.0,14.4,9.3,10.6,1.6,1.2,13.0,16.6,0.0,1.5,2.0,3.5,.097,0.0,0.7,0.8,1.5,1.5
35,WillBarton,SG,23,POR,41,387,13.5,.488,.212,.205,4.5,16.0,10.3,13.3,1.2,1.3,9.6,21.2,0.0,0.3,0.4,0.6,.078,0.0,-1.9,-0.7,-2.7,-0.1
36,BrandonBass,PF,28,BOS,82,2266,15.0,.549,.008,.330,7.8,15.9,11.8,6.4,0.8,2.4,10.9,18.2,0.0,3.2,1.9,5.1,.107,0.0,-1.3,0.2,-1.2,0.5
37,ShaneBattier,SF,35,MIA,73,1468,8.7,.523,.764,.084,3.0,8.6,5.9,6.0,1.8,2.3,6.9,10.0,0.0,1.0,1.4,2.4,.078,0.0,0.1,0.7,0.8,1.1
38,NicolasBatum,SF,25,POR,82,2956,15.8,.589,.491,.248,4.3,17.8,11.1,20.9,1.3,1.3,18.6,16.5,0.0,4.8,3.1,7.9,.128,0.0,2.4,1.8,4.2,4.6
39,JerrydBayless,PG,25,TOT,72,1686,12.0,.498,.344,.191,1.5,8.6,5.0,18.5,1.9,0.4,10.9,20.1,0.0,1.1,1.3,2.4,.069,0.0,-0.4,-1.4,-1.8,0.1
39,JerrydBayless,PG,25,MEM,31,650,11.3,.473,.347,.238,1.5,9.3,5.4,15.6,1.6,0.6,7.7,20.3,0.0,0.4,0.6,1.0,.077,0.0,-0.6,-1.3,-2.0,0.0
39,JerrydBayless,PG,25,BOS,41,1036,12.5,.514,.341,.161,1.5,8.1,4.7,20.4,2.0,0.3,12.9,19.9,0.0,0.7,0.7,1.4,.064,0.0,-0.2,-1.5,-1.7,0.1
40,AronBaynes,C,27,SAS,53,491,9.7,.467,.000,.129,13.6,19.4,16.6,9.9,0.2,0.7,17.3,19.2,0.0,-0.1,0.6,0.6,.055,0.0,-3.7,-0.3,-4.0,-0.2
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0.0,OWS,DWS,WS,WS/48,0.0,OBPM,DBPM,BPM,VORP
41,KentBazemore,SG,24,TOT,67,911,11.2,.515,.373,.318,1.2,12.6,6.9,15.7,2.3,1.0,16.8,22.6,0.0,-0.6,0.8,0.2,.011,0.0,-2.1,-0.4,-2.5,-0.1
41,KentBazemore,SG,24,GSW,44,268,6.2,.448,.402,.371,2.1,14.0,8.1,10.9,2.2,1.7,19.9,23.1,0.0,-0.6,0.4,-0.2,-0.034,0.0,-6.1,0.3,-5.7,-0.3
41,KentBazemore,SG,24,LAL,23,643,13.3,.543,.362,.297,0.8,12.0,6.4,17.7,2.3,0.8,15.5,22.3,0.0,0.0,0.4,0.4,.029,0.0,-0.5,-0.7,-1.2,0.1
42,BradleyBeal,SG,20,WAS,73,2530,14.3,.507,.299,.164,2.4,10.2,6.3,16.0,1.4,0.6,9.4,24.3,0.0,1.6,2.4,4.0,.076,0.0,0.2,-1.3,-1.1,0.5
43,MichaelBeasley,SF,25,MIA,55,831,16.8,.559,.152,.223,4.9,20.5,13.0,8.8,1.5,2.2,12.8,25.7,0.0,0.5,1.1,1.6,.092,0.0,-2.2,-1.2,-3.5,-0.3
44,MarcoBelinelli,SF,27,SAS,80,2016,15.0,.605,.422,.188,1.0,11.2,6.3,13.2,1.3,0.3,11.2,19.0,0.0,3.5,2.4,5.9,.140,0.0,1.9,-0.3,1.7,1.9
45,AnthonyBennett,PF,20,CLE,52,663,6.9,.425,.236,.307,8.1,18.4,13.1,4.0,1.6,1.0,15.5,20.3,0.0,-1.1,0.7,-0.4,-0.028,0.0,-5.8,-1.5,-7.3,-0.9
