
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,SacramentoKings,50,12200,1918,4307,.445,290,943,.308,1628,3364,.484,883,1293,.683,706,1573,2279,1129,444,232,842,1016,5009,100.2
2,LosAngelesLakers,50,12050,1841,3935,.468,241,685,.352,1600,3250,.492,1027,1503,.683,619,1482,2101,1095,389,287,754,1231,4950,99.0
3,PhoenixSuns,50,12050,1797,4004,.449,261,702,.372,1536,3302,.465,924,1215,.760,598,1418,2016,1249,444,200,681,1022,4779,95.6
4,SeattleSuperSonics,50,12100,1756,3976,.442,309,899,.344,1447,3077,.470,922,1354,.681,676,1422,2098,1087,393,201,765,1047,4743,94.9
5,PortlandTrailBlazers,50,12175,1747,3956,.442,246,675,.364,1501,3281,.457,1002,1349,.743,646,1570,2216,1073,411,290,771,1126,4742,94.8
6,IndianaPacers,50,12100,1731,3866,.448,294,799,.368,1437,3067,.469,977,1228,.796,574,1452,2026,1005,316,223,649,1082,4733,94.7
7,HoustonRockets,50,12075,1755,3798,.462,336,914,.368,1419,2884,.492,865,1187,.729,536,1540,2076,1058,386,260,812,960,4711,94.2
8,DenverNuggets,50,12025,1681,3989,.421,302,922,.328,1379,3067,.450,1010,1325,.762,647,1392,2039,969,376,275,739,1145,4674,93.5
9,UtahJazz,50,12175,1684,3620,.465,140,388,.361,1544,3232,.478,1158,1510,.767,555,1508,2063,1204,398,276,814,1133,4666,93.3
10,BostonCeltics,50,12150,1816,4164,.436,273,758,.360,1543,3406,.453,745,1077,.692,680,1458,2138,1073,453,255,807,1193,4650,93.0
11,MinnesotaTimberwolves,50,12025,1838,4327,.425,122,410,.298,1716,3917,.438,849,1143,.743,754,1392,2146,1218,426,272,641,1185,4647,92.9
12,CharlotteHornets,50,12150,1671,3718,.449,268,735,.365,1403,2983,.470,1034,1384,.747,480,1493,1973,1110,443,247,796,1101,4644,92.9
13,SanAntonioSpurs,50,12075,1740,3812,.456,172,521,.330,1568,3291,.476,988,1415,.698,614,1584,2198,1101,421,351,759,1010,4640,92.8
14,MilwaukeeBucks,50,12050,1753,3818,.459,231,619,.373,1522,3199,.476,847,1155,.733,570,1369,1939,1030,442,202,719,1142,4584,91.7
15,DallasMavericks,50,12075,1749,4033,.434,202,595,.339,1547,3438,.450,881,1210,.728,645,1478,2123,921,352,292,692,1065,4581,91.6
16,NewJerseyNets,50,12050,1691,4160,.406,225,679,.331,1466,3481,.421,962,1251,.769,715,1437,2152,923,491,273,750,1134,4569,91.4
17,WashingtonWizards,50,12050,1768,3969,.445,179,580,.309,1589,3389,.469,845,1198,.705,595,1403,1998,1064,393,193,736,1151,4560,91.2
18,TorontoRaptors,50,12075,1660,3940,.421,226,662,.341,1434,3278,.437,1011,1330,.760,712,1447,2159,1036,439,321,799,1139,4557,91.1
19,LosAngelesClippers,50,12125,1711,4007,.427,214,668,.320,1497,3339,.448,883,1225,.721,665,1293,1958,820,424,236,796,1223,4519,90.4
20,DetroitPistons,50,12050,1660,3716,.447,248,679,.365,1412,3037,.465,950,1283,.740,605,1412,2017,1009,444,208,790,1139,4518,90.4
21,Philadelphia76ers,50,12150,1656,3883,.426,98,371,.264,1558,3512,.444,1073,1486,.722,729,1428,2157,934,542,271,822,1152,4483,89.7
22,OrlandoMagic,50,12050,1687,3943,.428,223,675,.330,1464,3268,.448,876,1252,.700,688,1445,2133,1067,496,213,819,935,4473,89.5
23,MiamiHeat,50,12025,1616,3565,.453,289,804,.359,1327,2761,.481,928,1262,.735,503,1512,2015,1019,327,304,744,1035,4449,89.0
24,VancouverGrizzlies,50,12175,1643,3838,.428,148,453,.327,1495,3385,.442,1009,1408,.717,650,1359,2009,964,420,199,848,1123,4443,88.9
25,GoldenStateWarriors,50,12125,1730,4173,.415,162,565,.287,1568,3608,.435,794,1175,.676,816,1559,2375,1037,414,221,768,1270,4416,88.3
26,ClevelandCavaliers,50,12050,1562,3561,.439,182,534,.341,1380,3027,.456,1016,1356,.749,472,1316,1788,1093,452,203,785,1208,4322,86.4
27,NewYorkKnicks,50,12100,1610,3704,.435,208,589,.353,1402,3115,.450,892,1218,.732,551,1510,2061,963,395,262,804,1140,4320,86.4
28,AtlantaHawks,50,12075,1539,3760,.409,197,644,.306,1342,3116,.431,1040,1422,.731,676,1499,2175,782,346,260,745,987,4315,86.3
29,ChicagoBulls,50,12075,1539,3837,.401,177,612,.289,1362,3225,.422,840,1185,.709,573,1394,1967,1017,436,169,774,1112,4095,81.9
,LeagueAverage,50,12091,1709,3910,.437,223,658,.339,1486,3252,.457,939,1290,.728,629,1453,2083,1036,418,248,766,1111,4579,91.6
