
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0.0,OWS,DWS,WS,WS/48,0.0,OBPM,DBPM,BPM,VORP
1,MahmoudAbdul-Rauf,PG,28,SAC,31,530,10.5,.405,.114,.059,1.2,6.7,3.9,19.7,1.6,0.1,6.4,25.1,0.0,-0.5,0.2,-0.3,-0.025,0.0,-3.4,-3.7,-7.1,-0.7
2,TariqAbdul-Wahad,SG,23,SAC,59,959,10.1,.456,.053,.350,5.0,8.6,6.7,8.9,1.9,0.9,13.6,22.1,0.0,-0.8,0.6,-0.2,-0.008,0.0,-4.2,-1.7,-5.9,-0.9
3,ShareefAbdur-Rahim,SF,21,VAN,82,2950,21.1,.562,.038,.475,8.9,13.8,11.3,13.5,1.6,1.8,13.6,28.4,0.0,6.3,0.6,6.9,.113,0.0,2.6,-1.4,1.2,2.3
4,CoryAlexander,PG,24,TOT,60,1298,15.2,.548,.440,.255,1.5,11.7,6.6,28.7,2.9,0.6,20.1,19.8,0.0,1.0,1.2,2.2,.081,0.0,0.9,-0.8,0.1,0.7
4,CoryAlexander,PG,24,SAS,37,501,11.1,.512,.441,.255,1.7,8.7,5.4,23.2,2.7,0.7,22.6,19.5,0.0,-0.2,0.8,0.7,.065,0.0,-1.7,0.2,-1.5,0.1
4,CoryAlexander,PG,24,DEN,23,797,17.8,.569,.439,.255,1.4,13.5,7.3,32.1,3.0,0.6,18.6,19.9,0.0,1.2,0.3,1.5,.091,0.0,2.5,-1.5,1.1,0.6
5,RayAllen,SG,22,MIL,82,3287,16.2,.539,.280,.297,4.7,10.4,7.5,19.3,1.8,0.3,15.0,24.3,0.0,4.7,2.3,7.0,.102,0.0,2.6,-0.8,1.8,3.2
6,DerekAnderson,SF,23,CLE,66,1839,15.3,.531,.143,.538,3.7,8.7,6.2,21.3,2.5,0.5,15.0,21.4,0.0,2.6,2.8,5.3,.139,0.0,0.4,0.7,1.0,1.4
7,GregAnderson,C,33,ATL,50,398,10.4,.444,.062,.506,12.0,22.6,17.4,5.9,2.6,1.8,14.7,13.5,0.0,0.0,0.7,0.7,.090,0.0,-2.8,1.3,-1.6,0.0
8,KennyAnderson,PG,27,TOT,61,1858,14.8,.491,.237,.288,2.5,8.4,5.4,31.4,2.5,0.0,15.8,21.8,0.0,1.7,2.0,3.7,.096,0.0,0.5,-1.1,-0.6,0.7
8,KennyAnderson,PG,27,POR,45,1472,13.3,.480,.252,.275,3.0,7.5,5.3,28.3,2.2,0.0,16.2,21.7,0.0,0.8,1.6,2.3,.076,0.0,0.1,-0.9,-0.8,0.4
8,KennyAnderson,PG,27,BOS,16,386,20.4,.531,.184,.333,0.8,12.0,5.9,43.4,3.5,0.0,14.7,22.1,0.0,1.0,0.4,1.4,.171,0.0,2.4,-2.0,0.4,0.2
9,NickAnderson,SF,30,ORL,58,1701,19.6,.529,.284,.264,6.6,14.1,10.3,14.1,2.3,1.0,9.2,25.0,0.0,3.1,2.1,5.3,.149,0.0,3.4,-0.1,3.4,2.3
10,ShandonAnderson,SG,24,UTA,82,1602,15.7,.586,.064,.370,7.1,10.3,8.8,9.4,2.2,0.8,13.5,19.5,0.0,2.9,1.4,4.2,.127,0.0,1.2,-0.5,0.7,1.1
11,ChrisAnstey,C,23,DAL,41,680,13.2,.455,.069,.320,8.5,17.4,12.8,8.7,2.4,2.8,13.5,20.5,0.0,-0.2,0.9,0.6,.044,0.0,-3.6,0.5,-3.1,-0.2
12,GregAnthony,PG,30,SEA,80,1021,16.8,.545,.456,.229,2.1,10.7,6.5,32.1,3.4,0.2,19.1,21.6,0.0,1.4,1.3,2.7,.127,0.0,1.4,-1.2,0.2,0.6
13,B.J.Armstrong,PG,30,TOT,66,831,14.6,.555,.164,.235,2.3,8.6,5.5,29.0,1.9,0.0,15.2,15.3,0.0,1.6,0.6,2.2,.124,0.0,0.2,-2.4,-2.3,-0.1
13,B.J.Armstrong,PG,30,GSW,4,59,6.3,.385,.053,.368,7.0,5.6,6.3,16.5,3.6,0.0,24.1,21.5,0.0,-0.2,0.1,-0.1,-0.092,0.0,-6.3,0.0,-6.3,-0.1
13,B.J.Armstrong,PG,30,CHH,62,772,15.2,.573,.175,.222,1.9,8.8,5.4,30.0,1.7,0.0,14.1,14.9,0.0,1.8,0.5,2.3,.141,0.0,0.7,-2.6,-2.0,0.0
14,DarrellArmstrong,PG,29,ORL,48,1236,15.7,.509,.179,.324,6.1,9.2,7.6,33.4,2.6,0.3,20.5,20.2,0.0,1.2,1.3,2.5,.096,0.0,1.1,0.0,1.1,1.0
15,VincentAskew,SG,31,POR,30,443,6.7,.464,.037,.722,5.7,11.9,8.9,12.5,2.3,0.8,33.0,10.9,0.0,-0.4,0.6,0.2,.023,0.0,-4.8,2.2,-2.6,-0.1
16,KeithAskins,SF,30,MIA,46,681,5.5,.426,.607,.156,5.0,12.2,8.7,6.4,2.2,1.3,16.6,10.7,0.0,-0.3,1.0,0.7,.050,0.0,-2.8,1.7,-1.1,0.2
17,StaceyAugmon,SG,29,POR,71,1445,10.3,.457,.019,.419,8.7,10.2,9.5,9.8,2.1,1.6,15.5,16.3,0.0,-0.1,1.9,1.8,.059,0.0,-2.8,1.4,-1.3,0.3
18,IsaacAustin,C,28,TOT,78,2266,16.3,.512,.009,.417,10.3,18.0,14.2,14.0,1.4,1.7,16.7,25.0,0.0,1.2,2.5,3.6,.077,0.0,-1.1,0.4,-0.6,0.8
18,IsaacAustin,C,28,MIA,52,1371,16.8,.521,.006,.429,10.5,17.5,14.1,11.8,1.7,1.8,15.6,25.5,0.0,1.1,2.2,3.2,.113,0.0,-1.1,0.9,-0.1,0.6
18,IsaacAustin,C,28,LAC,26,895,15.6,.497,.015,.398,10.1,18.9,14.4,17.3,1.0,1.6,18.3,24.2,0.0,0.1,0.3,0.4,.022,0.0,-1.1,-0.4,-1.4,0.1
19,VinBaker,C,26,SEA,82,2944,20.4,.564,.006,.452,11.8,14.8,13.3,9.3,1.7,2.2,11.1,24.7,0.0,6.9,3.5,10.4,.169,0.0,1.9,0.2,2.0,3.0
20,CharlesBarkley,PF,34,HOU,68,2243,21.6,.564,.113,.534,12.9,28.8,20.9,16.6,1.7,0.9,13.8,21.6,0.0,6.1,2.5,8.6,.183,0.0,2.8,1.3,4.0,3.4
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0.0,OWS,DWS,WS,WS/48,0.0,OBPM,DBPM,BPM,VORP
21,DanaBarros,PG,30,BOS,80,1686,18.6,.583,.404,.236,1.8,9.6,5.3,28.4,2.5,0.3,13.7,20.0,0.0,4.4,1.3,5.6,.160,0.0,3.1,-2.4,0.7,1.1
22,BrentBarry,SG,26,TOT,58,1600,14.3,.558,.453,.265,2.1,10.2,6.1,15.8,2.1,1.1,15.5,18.7,0.0,2.1,0.6,2.7,.080,0.0,1.2,-1.0,0.2,0.9
22,BrentBarry,SG,26,LAC,41,1341,14.9,.564,.439,.275,2.3,9.9,6.1,16.4,1.9,1.1,16.0,19.6,0.0,1.8,0.2,2.0,.072,0.0,1.6,-1.5,0.1,0.7
22,BrentBarry,SG,26,MIA,17,259,11.2,.520,.548,.194,0.9,11.4,6.3,12.8,3.0,1.1,11.8,13.7,0.0,0.3,0.4,0.7,.125,0.0,-0.7,1.3,0.6,0.2
23,DrewBarry,PG,24,ATL,27,256,10.7,.640,.553,.342,2.4,13.3,8.0,29.2,2.1,0.3,40.7,13.3,0.0,0.0,0.3,0.3,.058,0.0,-1.9,-1.1,-3.1,-0.1
24,JonBarry,SG,28,LAL,49,374,13.3,.518,.587,.279,2.5,8.6,5.6,19.7,3.3,0.6,15.9,16.4,0.0,0.5,0.4,0.9,.116,0.0,0.4,-0.8,-0.4,0.2
25,TonyBattie,PF,21,DEN,65,1506,13.3,.477,.027,.198,10.5,17.2,13.7,7.6,1.9,3.4,14.7,20.2,0.0,-0.3,0.8,0.5,.015,0.0,-3.0,-0.4,-3.3,-0.5
26,CoreyBeck,PG,26,CHH,59,738,9.3,.516,.025,.371,4.5,10.2,7.4,20.4,2.4,0.7,27.5,16.0,0.0,-0.3,0.7,0.4,.028,0.0,-3.2,0.1,-3.1,-0.2
27,BenoitBenjamin,C,33,PHI,14,197,12.5,.581,.000,.732,10.4,20.6,15.5,2.5,1.1,1.5,18.1,15.1,0.0,0.2,0.2,0.4,.098,0.0,-3.1,-1.7,-4.8,-0.1
28,MarioBennett,PF,24,LAL,45,354,22.2,.573,.015,.326,19.7,20.6,20.1,9.0,2.8,2.2,12.0,21.8,0.0,0.9,0.6,1.5,.201,0.0,2.5,0.4,2.9,0.4
29,DavidBenoit,SF,29,TOT,77,1123,10.5,.477,.417,.181,5.9,15.6,10.5,3.7,1.7,1.3,10.6,19.4,0.0,0.5,1.1,1.6,.067,0.0,-1.7,-1.9,-3.7,-0.5
29,DavidBenoit,SF,29,NJN,53,799,10.0,.489,.442,.164,5.7,15.3,10.2,3.3,1.7,1.5,11.9,17.8,0.0,0.4,0.7,1.1,.067,0.0,-1.6,-1.6,-3.1,-0.2
29,DavidBenoit,SF,29,ORL,24,324,11.8,.453,.367,.216,6.4,16.4,11.3,4.5,1.5,0.9,7.9,23.4,0.0,0.1,0.4,0.5,.068,0.0,-2.1,-2.8,-4.9,-0.2
30,TravisBest,PG,25,IND,82,1547,13.6,.498,.146,.273,2.3,7.0,4.7,29.9,3.0,0.2,17.1,20.0,0.0,1.2,2.1,3.3,.103,0.0,-0.3,0.0,-0.3,0.7
31,ChaunceyBillups,PG,21,TOT,80,2216,13.6,.516,.434,.355,3.0,7.1,5.0,22.6,2.5,0.1,16.7,20.4,0.0,2.1,0.9,3.0,.065,0.0,0.8,-2.6,-1.8,0.1
31,ChaunceyBillups,PG,21,BOS,51,1296,15.4,.530,.416,.396,3.3,7.3,5.1,26.7,3.1,0.1,18.1,21.7,0.0,1.6,1.0,2.6,.096,0.0,1.5,-1.9,-0.3,0.5
31,ChaunceyBillups,PG,21,TOR,29,920,11.1,.493,.461,.292,2.6,7.0,4.7,16.7,1.7,0.1,14.4,18.5,0.0,0.6,-0.2,0.4,.020,0.0,-0.2,-3.7,-4.0,-0.5
32,MookieBlaylock,PG,30,ATL,70,2700,16.1,.462,.356,.143,3.7,10.9,7.4,29.5,3.7,0.5,15.0,20.1,0.0,1.9,3.7,5.6,.099,0.0,2.2,1.3,3.6,3.8
33,CorieBlount,PF,29,LAL,70,1029,11.9,.572,.021,.417,12.9,19.7,16.4,5.2,1.4,1.7,18.7,11.7,0.0,1.2,1.4,2.6,.120,0.0,-1.1,0.6,-0.4,0.4
34,MuggsyBogues,PG,33,TOT,61,1570,12.4,.492,.050,.211,2.0,7.1,4.5,33.6,2.2,0.1,22.9,12.7,0.0,0.7,1.0,1.7,.053,0.0,-2.8,-1.4,-4.1,-0.8
34,MuggsyBogues,PG,33,CHH,2,16,20.6,.510,.000,.400,0.0,7.5,3.8,40.0,6.7,0.0,14.5,19.9,0.0,0.0,0.0,0.1,.193,0.0,0.3,-0.2,0.1,0.0
34,MuggsyBogues,PG,33,GSW,59,1554,12.3,.491,.050,.208,2.0,7.1,4.5,33.5,2.2,0.1,23.1,12.7,0.0,0.7,1.0,1.7,.051,0.0,-2.8,-1.4,-4.2,-0.8
35,EtdrickBohannon,PF,24,IND,5,11,-10.3,.000,.000,.000,23.1,41.7,32.8,12.3,0.0,12.9,42.9,30.3,0.0,-0.2,0.0,-0.1,-0.520,0.0,-23.7,7.8,-15.9,0.0
36,KeithBooth,SF,23,CHI,6,17,13.8,.579,.167,1.000,13.4,13.5,13.5,9.0,0.0,0.0,25.8,30.7,0.0,0.0,0.0,0.0,.107,0.0,-2.8,-4.1,-6.9,0.0
37,BruceBowen,SF,26,BOS,61,1305,11.0,.483,.198,.409,6.6,9.4,7.9,9.3,3.4,1.7,12.9,13.4,0.0,0.8,1.4,2.2,.081,0.0,-1.3,1.5,0.2,0.7
38,AnthonyBowie,SG,34,NYK,27,224,12.9,.596,.068,.153,4.8,9.2,7.0,8.5,1.5,0.7,10.0,14.6,0.0,0.4,0.3,0.7,.148,0.0,-0.9,0.2,-0.8,0.1
39,ShawnBradley,C,25,DAL,64,1822,17.7,.463,.004,.253,9.8,22.1,15.8,5.9,1.5,8.2,10.8,22.3,0.0,0.0,3.0,2.9,.077,0.0,-3.8,2.8,-1.0,0.4
40,TerrellBrandon,PG,27,MIL,50,1784,20.2,.526,.127,.213,1.6,10.6,6.0,40.0,3.3,0.7,15.3,24.2,0.0,3.1,2.0,5.1,.136,0.0,3.1,-0.1,3.0,2.2
Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,0.0,OWS,DWS,WS,WS/48,0.0,OBPM,DBPM,BPM,VORP
41,TimBreaux,SF,27,MIL,6,30,11.6,.421,.273,.182,0.0,8.2,4.1,11.1,3.5,2.5,7.8,19.6,0.0,0.0,0.0,0.0,.028,0.0,-3.7,-0.3,-4.1,0.0
42,ScottBrooks,PG,32,CLE,43,312,13.9,.528,.167,.303,2.4,9.3,5.9,25.3,3.1,0.7,13.8,12.8,0.0,0.5,0.5,1.0,.156,0.0,-1.1,0.7,-0.4,0.1
43,ChuckyBrown,SF,29,ATL,77,1202,10.5,.472,.022,.234,5.8,11.9,9.0,7.7,1.0,0.8,11.1,17.8,0.0,0.5,0.9,1.4,.056,0.0,-2.9,-1.5,-4.4,-0.7
44,DeeBrown,SG,29,TOT,72,1719,14.2,.555,.482,.126,1.5,9.1,5.1,14.8,2.5,1.0,11.0,16.9,0.0,2.6,0.8,3.4,.095,0.0,1.1,-1.9,-0.8,0.5
44,DeeBrown,SG,29,BOS,41,811,11.4,.524,.443,.110,1.3,8.3,4.5,10.4,2.8,0.6,10.7,16.0,0.0,0.7,0.7,1.3,.078,0.0,-0.7,-1.1,-1.8,0.0
44,DeeBrown,SG,29,TOR,31,908,16.8,.580,.515,.140,1.7,9.8,5.6,18.8,2.2,1.3,11.2,17.7,0.0,2.0,0.1,2.1,.110,0.0,2.7,-2.5,0.1,0.5
45,P.J.Brown,PF,28,MIA,74,2362,15.0,.522,.000,.334,12.1,19.2,15.8,7.2,1.5,3.0,12.5,15.3,0.0,3.5,4.0,7.5,.152,0.0,-0.5,2.9,2.4,2.6
46,RandyBrown,PG,29,CHI,71,1147,10.1,.428,.017,.258,3.4,6.0,4.7,19.6,3.3,0.8,15.8,15.6,0.0,-0.1,1.9,1.8,.075,0.0,-3.2,1.1,-2.1,0.0
47,RickBrunson,PG,25,POR,38,622,9.6,.481,.433,.440,2.7,7.6,5.2,24.8,2.1,0.4,23.6,16.0,0.0,-0.1,0.7,0.6,.048,0.0,-2.3,-1.0,-3.3,-0.2
48,KobeBryant,SG,19,LAL,79,2056,18.5,.548,.241,.501,4.5,8.7,6.7,16.0,1.8,1.3,12.4,27.2,0.0,4.5,1.8,6.3,.147,0.0,1.9,-1.7,0.2,1.1
49,MarkBryant,C,32,PHO,70,1110,10.2,.545,.004,.422,9.9,15.6,12.8,6.0,1.7,1.0,17.9,13.3,0.0,1.0,1.6,2.5,.109,0.0,-2.1,1.0,-1.1,0.2
50,JudBuechler,SF,29,CHI,74,608,14.1,.554,.369,.034,4.5,10.0,7.3,12.8,2.0,1.8,10.5,14.7,0.0,1.0,0.9,1.9,.151,0.0,0.2,0.6,0.7,0.4
51,MattBullard,SF,30,HOU,67,1190,13.8,.581,.594,.069,2.5,11.9,7.3,8.5,1.4,1.4,8.9,16.8,0.0,2.0,0.5,2.5,.102,0.0,1.4,-1.7,-0.3,0.5
