Rk,Team,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,DRB%,FT/FGA,Arena,Attendance
1,GoldenStateWarriors,27.4,65,17,10.76,-0.38,10.38,114.5,103.8,99.3,.250,.362,.593,.563,13.5,23.5,.191,.479,12.6,76.0,.208,OracleArena,803436
2,SanAntonioSpurs,30.3,67,15,10.63,-0.36,10.28,110.3,99.0,93.8,.246,.223,.564,.526,12.4,23.0,.197,.477,14.1,79.1,.182,AT&TCenter,756445
3,OklahomaCityThunder,25.8,59,23,7.28,-0.19,7.09,113.1,105.6,96.7,.292,.275,.565,.524,14.0,31.1,.228,.484,11.7,76.0,.205,ChesapeakeEnergyArena,746323
4,ClevelandCavaliers,28.1,57,25,6.00,-0.55,5.45,110.9,104.5,93.3,.259,.352,.558,.524,12.7,25.1,.194,.496,12.6,78.5,.205,QuickenLoansArena,843042
5,LosAngelesClippers,29.7,53,29,4.28,-0.15,4.13,108.3,103.8,95.8,.318,.324,.556,.524,12.1,20.1,.220,.480,13.8,73.8,.222,STAPLESCenter,786910
6,TorontoRaptors,26.3,53,29,4.50,-0.42,4.08,110.0,105.2,92.9,.328,.287,.552,.504,12.3,24.6,.255,.498,12.7,77.7,.201,AirCanadaCentre,812863
7,AtlantaHawks,28.2,51,31,3.61,-0.12,3.49,105.1,101.4,97.1,.237,.336,.552,.516,13.8,19.1,.185,.480,14.4,74.6,.194,PhilipsArena,690150
8,BostonCeltics,25.2,50,32,3.21,-0.37,2.84,106.8,103.6,98.5,.264,.293,.531,.488,12.1,25.1,.208,.487,14.6,74.6,.231,TDGarden,749076
9,CharlotteHornets,26.0,49,33,2.72,-0.36,2.36,107.1,104.3,95.7,.280,.348,.545,.502,11.7,20.0,.222,.496,12.5,79.8,.191,TimeWarnerCableArena,716894
10,UtahJazz,24.2,46,36,1.79,0.05,1.84,105.9,103.9,91.0,.286,.297,.540,.501,14.2,25.9,.213,.495,13.5,77.7,.210,VivintSmartHomeArena,791489
11,IndianaPacers,26.9,46,36,1.71,-0.09,1.62,104.6,102.9,96.6,.268,.270,.536,.497,13.5,23.4,.205,.489,14.3,76.0,.205,BankersLifeFieldhouse,690733
12,MiamiHeat,28.4,46,36,1.65,-0.14,1.50,106.1,104.4,93.6,.282,.221,.545,.508,13.3,23.8,.210,.485,12.1,77.8,.196,AmericanAirlinesArena,809350
13,PortlandTrailBlazers,24.3,43,39,0.83,0.15,0.98,108.8,108.0,96.0,.268,.332,.548,.511,13.2,25.9,.202,.503,12.1,76.2,.225,ModaCenter,794085
14,DetroitPistons,25.0,43,39,0.61,-0.18,0.43,106.1,105.5,95.1,.296,.303,.522,.491,12.2,27.0,.197,.504,12.5,79.3,.196,ThePalaceofAuburnHills,677138
15,HoustonRockets,27.8,42,40,0.20,0.14,0.34,108.3,108.1,97.6,.352,.370,.553,.516,14.2,25.7,.244,.516,14.7,72.8,.219,ToyotaCenter,737244
16,DallasMavericks,30.3,40,42,-0.30,0.29,-0.02,106.7,107.0,94.3,.265,.339,.544,.502,12.0,20.6,.211,.504,12.8,76.2,.198,AmericanAirlinesCenter,825901
17,WashingtonWizards,27.3,40,42,-0.50,0.00,-0.50,105.3,105.8,98.5,.263,.282,.544,.511,13.1,20.6,.192,.515,14.6,77.7,.218,VerizonCenter,725426
18,ChicagoBulls,27.6,37,45,-1.48,0.01,-1.46,105.0,106.5,95.7,.240,.244,.526,.487,12.6,24.5,.189,.485,10.7,74.9,.182,UnitedCenter,894659
19,OrlandoMagic,23.9,36,46,-1.62,-0.06,-1.68,105.1,106.8,96.0,.232,.255,.533,.500,12.8,23.1,.175,.513,13.8,76.5,.215,AmwayCenter,719275
20,MemphisGrizzlies,30.5,35,47,-2.24,0.11,-2.14,105.4,107.8,93.3,.295,.222,.524,.477,12.3,25.3,.231,.518,15.2,75.1,.251,FedExForum,701894
21,SacramentoKings,26.6,34,48,-2.48,0.16,-2.32,106.0,108.4,100.0,.295,.260,.546,.510,14.2,23.9,.214,.521,14.0,74.9,.202,SleepTrainArena,707526
22,NewYorkKnicks,27.2,33,49,-2.73,0.00,-2.74,104.6,107.6,93.4,.255,.256,.527,.483,12.6,23.7,.205,.487,10.5,75.8,.204,MadisonSquareGarden(IV),812292
23,DenverNuggets,24.7,33,49,-3.10,0.29,-2.81,105.6,108.9,95.7,.282,.277,.531,.489,13.2,25.8,.216,.515,12.6,77.3,.216,PepsiCenter,577898
24,MinnesotaTimberwolves,24.6,31,51,-3.54,0.15,-3.38,106.5,110.1,95.2,.332,.202,.549,.498,13.9,24.3,.263,.524,13.6,74.7,.200,TargetCenter,581178
25,NewOrleansPelicans,26.6,31,51,-3.79,0.24,-3.56,105.6,109.5,96.8,.259,.277,.537,.498,12.3,21.2,.201,.523,12.7,78.8,.225,SmoothieKingCenter,688549
26,MilwaukeeBucks,23.5,29,53,-4.18,0.20,-3.98,104.3,108.7,94.2,.276,.189,.537,.499,14.2,24.9,.207,.510,14.2,73.1,.221,BMOHarrisBradleyCenter,621808
27,PhoenixSuns,26.0,24,58,-6.66,0.34,-6.32,102.2,109.0,98.5,.271,.302,.526,.487,15.2,25.4,.204,.523,13.5,77.1,.237,TalkingStickResortArena,701405
28,BrooklynNets,26.9,22,60,-7.35,0.24,-7.12,103.2,110.9,95.2,.246,.218,.527,.492,13.6,24.1,.186,.534,13.1,75.7,.176,BarclaysCenter,620142
29,LosAngelesLakers,26.5,17,65,-9.56,0.64,-8.92,101.6,111.6,95.6,.292,.290,.509,.460,12.5,23.1,.228,.523,11.6,74.7,.202,STAPLESCenter,778877
30,Philadelphia76ers,23.3,16,66,-10.23,0.31,-9.92,98.8,109.2,97.9,.269,.327,.519,.487,14.8,20.6,.186,.510,13.5,74.0,.240,TheCenter,614650

