Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PA/G
1,Miami Heat,82,19930,2666,6279,.425,379,1109,.342,2287,5170,.442,1565,2127,.736,894,2484,3378,1461,620,353,1134,1709,7276,88.7
2,Philadelphia 76ers*,82,19730,2771,6500,.426,438,1322,.331,2333,5178,.451,1350,1798,.751,981,2348,3329,1768,654,458,1208,1827,7330,89.4
3,San Antonio Spurs*,82,19855,2883,6775,.426,374,1108,.338,2509,5667,.443,1283,1651,.777,1003,2429,3432,1543,635,428,1192,1896,7423,90.5
4,Toronto Raptors*,82,19755,2820,6390,.441,377,1089,.346,2443,5301,.461,1513,2011,.752,995,2436,3431,1629,628,393,1250,1612,7530,91.8
5,New Jersey Nets*,82,19830,2858,6668,.429,409,1175,.348,2449,5493,.446,1423,1890,.753,999,2517,3516,1563,669,439,1317,1667,7548,92.0
6,Detroit Pistons*,82,19680,2926,6546,.447,359,993,.362,2567,5553,.462,1349,1787,.755,991,2511,3502,1638,651,335,1273,1874,7560,92.2
7,Charlotte Hornets*,82,19755,2850,6594,.432,433,1156,.375,2417,5438,.444,1488,1938,.768,963,2399,3362,1639,625,422,1140,1703,7621,92.9
8,Portland Trail Blazers*,82,19830,2951,6508,.453,466,1285,.363,2485,5223,.476,1312,1771,.741,890,2328,3218,1945,612,410,1208,1651,7680,93.7
9,Boston Celtics*,82,19830,2797,6579,.425,514,1511,.340,2283,5068,.450,1612,2091,.771,954,2807,3761,1802,623,476,1335,1734,7720,94.1
10,Los Angeles Lakers*,82,19780,2872,6777,.424,399,1259,.317,2473,5518,.448,1577,2072,.761,1016,2526,3542,1643,587,354,1148,1890,7720,94.1
11,Washington Wizards,82,19730,2953,6534,.452,422,1191,.354,2531,5343,.474,1396,1849,.755,960,2376,3336,1818,573,414,1095,1713,7724,94.2
12,Seattle SuperSonics*,82,19830,2966,6605,.449,472,1374,.344,2494,5231,.477,1362,1844,.739,1091,2326,3417,1832,568,400,1254,1627,7766,94.7
13,Utah Jazz*,82,19830,2777,6218,.447,465,1215,.383,2312,5003,.462,1779,2308,.771,927,2204,3131,1585,748,548,1371,2069,7798,95.1
14,New York Knicks,82,19805,2924,6570,.445,443,1256,.353,2481,5314,.467,1550,2047,.757,959,2540,3499,1762,686,385,1103,1670,7841,95.6
15,Phoenix Suns,82,19830,2957,6663,.444,433,1208,.358,2524,5455,.463,1511,2013,.751,1030,2493,3523,1821,685,475,1265,1521,7858,95.8
16,Minnesota Timberwolves*,82,19805,2962,6654,.445,492,1321,.372,2470,5333,.463,1452,1958,.742,912,2326,3238,1855,542,407,1097,1676,7868,96.0
17,Los Angeles Clippers,82,19805,3074,6866,.448,407,1145,.355,2667,5721,.466,1329,1783,.745,1064,2379,3443,1859,612,439,1055,1775,7884,96.1
18,Indiana Pacers*,82,19905,2977,6800,.438,418,1200,.348,2559,5600,.457,1544,2062,.749,1048,2514,3562,1771,618,466,1173,1855,7916,96.5
19,Sacramento Kings*,82,19755,3128,7108,.440,386,1145,.337,2742,5963,.460,1312,1764,.744,1065,2617,3682,1839,633,387,1246,1827,7954,97.0
20,Houston Rockets,82,19980,3191,6875,.464,370,1028,.360,2821,5847,.482,1221,1623,.752,1045,2507,3552,1838,576,415,988,1647,7973,97.2
21,Memphis Grizzlies,82,19780,3119,6829,.457,398,1112,.358,2721,5717,.476,1346,1788,.753,1135,2560,3695,1961,781,457,1207,1784,7982,97.3
22,Milwaukee Bucks,82,19905,3016,6846,.441,493,1377,.358,2523,5469,.461,1489,1967,.757,1050,2438,3488,1883,599,361,1054,1642,8014,97.7
23,Chicago Bulls,82,19805,3027,6514,.465,421,1177,.358,2606,5337,.488,1560,2090,.746,944,2553,3497,2066,681,399,1178,1720,8035,98.0
24,Denver Nuggets,82,19805,3005,6540,.459,424,1173,.361,2581,5367,.481,1602,2144,.747,995,2529,3524,1968,671,560,1173,1646,8036,98.0
25,Atlanta Hawks,82,19780,3065,6675,.459,472,1329,.355,2593,5346,.485,1456,1957,.744,1004,2523,3527,1856,705,509,1239,1647,8058,98.3
26,Cleveland Cavaliers,82,19855,3053,6678,.457,473,1200,.394,2580,5478,.471,1506,2014,.748,928,2382,3310,1989,602,459,1063,1638,8085,98.6
27,Orlando Magic*,82,19830,3116,6828,.456,409,1161,.352,2707,5667,.478,1470,1994,.737,1086,2633,3719,1930,659,384,1292,1740,8111,98.9
28,Dallas Mavericks*,82,19880,3094,6851,.452,452,1293,.350,2642,5558,.475,1640,2184,.751,1065,2600,3665,1865,589,377,1155,1788,8280,101.0
29,Golden State Warriors,82,19780,3213,6993,.459,404,1162,.348,2809,5831,.482,1622,2125,.763,1100,2450,3550,2002,706,512,1176,1949,8452,103.1
