
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PTS/G
1,PhoenixSuns,82,19705,3429,7080,.484,344,1042,.330,3085,6038,.511,1674,2301,.728,1220,2453,3673,2261,745,460,1305,1639,8876,108.2
2,GoldenStateWarriors,82,19780,3512,7145,.492,291,859,.339,3221,6286,.512,1529,2304,.664,1183,2396,3579,2198,804,511,1433,1789,8844,107.9
3,PortlandTrailBlazers,82,19755,3371,7427,.454,272,770,.353,3099,6657,.466,1781,2396,.743,1302,2460,3762,2070,744,409,1210,1827,8795,107.3
4,CharlotteHornets,82,19830,3382,7100,.476,336,916,.367,3046,6184,.493,1632,2135,.764,1019,2475,3494,2214,724,394,1266,1747,8732,106.5
5,SeattleSuperSonics,82,19730,3338,6901,.484,242,722,.335,3096,6179,.501,1769,2374,.745,1148,2233,3381,2112,1053,365,1262,1914,8687,105.9
6,OrlandoMagic,82,19730,3341,6883,.485,394,1137,.347,2947,5746,.513,1590,2346,.678,1177,2356,3533,2070,683,456,1327,1713,8666,105.7
7,MiamiHeat,82,19805,3197,6896,.464,337,997,.338,2860,5899,.485,1744,2223,.785,1235,2407,3642,1856,643,374,1315,2024,8475,103.4
8,NewJerseyNets,82,19830,3169,7115,.445,223,683,.327,2946,6432,.458,1900,2495,.762,1300,2556,3856,1900,696,576,1196,1693,8461,103.2
9,LosAngelesClippers,82,19780,3343,7163,.467,252,831,.303,3091,6332,.488,1509,2128,.709,1120,2410,3530,2169,807,421,1474,1769,8447,103.0
10,UtahJazz,82,19830,3207,6729,.477,179,559,.320,3028,6170,.491,1761,2379,.740,1059,2385,3444,2179,751,364,1191,1988,8354,101.9
11,AtlantaHawks,82,19755,3247,7039,.461,268,830,.323,2979,6209,.480,1556,2070,.752,1250,2423,3673,2056,915,449,1252,1625,8318,101.4
12,ClevelandCavaliers,82,19855,3133,6731,.465,294,813,.362,2839,5918,.480,1736,2254,.770,1090,2353,3443,2049,705,426,1136,1701,8296,101.2
13,HoustonRockets,82,19780,3197,6733,.475,429,1285,.334,2768,5448,.508,1469,1978,.743,926,2619,3545,2087,717,485,1338,1646,8292,101.1
14,SacramentoKings,82,19755,3179,7027,.452,257,729,.353,2922,6298,.464,1676,2292,.731,1122,2349,3471,2029,669,355,1333,1979,8291,101.1
15,IndianaPacers,82,19755,3167,6516,.486,184,500,.368,2983,6016,.496,1762,2387,.738,1130,2409,3539,2055,706,457,1440,1974,8280,101.0
16,BostonCeltics,82,19905,3333,7057,.472,138,477,.289,3195,6580,.486,1463,2003,.730,1037,2380,3417,1928,674,440,1242,1849,8267,100.8
17,WashingtonBullets,82,19705,3195,6826,.468,221,744,.297,2974,6082,.489,1618,2162,.748,1071,2189,3260,1823,701,321,1403,1715,8229,100.4
18,LosAngelesLakers,82,19755,3291,7316,.450,241,803,.300,3050,6513,.468,1410,1967,.717,1260,2204,3464,1983,751,461,1197,1877,8233,100.4
19,DenverNuggets,82,19755,3156,6781,.465,170,597,.285,2986,6184,.483,1739,2423,.718,1105,2557,3662,1763,679,686,1422,1926,8221,100.3
20,SanAntonioSpurs,82,19780,3178,6688,.475,249,714,.349,2929,5974,.490,1597,2151,.742,1189,2597,3786,1896,561,450,1198,1662,8202,100.0
21,NewYorkKnicks,82,19755,3098,6735,.460,316,908,.348,2782,5827,.477,1564,2097,.746,1175,2542,3717,2067,752,385,1360,2001,8076,98.5
22,ChicagoBulls,82,19780,3245,6815,.476,233,659,.354,3012,6156,.489,1310,1859,.705,1143,2391,3534,2102,740,354,1306,1750,8033,98.0
23,Philadelphia76ers,82,19805,3103,6819,.455,318,942,.338,2785,5877,.474,1509,2112,.714,1012,2394,3406,1827,663,525,1368,1488,8033,98.0
24,DetroitPistons,82,19730,3169,7017,.452,358,1041,.344,2811,5976,.470,1253,1715,.731,1027,2320,3347,1767,602,309,1236,1935,7949,96.9
25,MilwaukeeBucks,82,19705,3044,6807,.447,331,1019,.325,2713,5788,.469,1530,2181,.702,1126,2154,3280,1946,800,407,1343,1821,7949,96.9
26,MinnesotaTimberwolves,82,19730,2985,6535,.457,183,557,.329,2802,5978,.469,1777,2303,.772,990,2343,3333,1967,600,440,1478,2016,7930,96.7
27,DallasMavericks,82,19730,3055,7070,.432,241,773,.312,2814,6297,.447,1450,1942,.747,1271,2150,3421,1629,767,299,1393,2007,7801,95.1
,LeagueAverage,82,19771,3225,6924,.466,270,811,.333,2954,6113,.483,1604,2184,.734,1137,2389,3526,2000,728,429,1312,1818,8324,101.5
