lr,epoch,ws,loss,nGram,dim,result
0.25,5,2,ova,1,100,65.02743344848608
0.25,5,2,ova,1,300,65.01727291200976
0.25,5,2,ova,2,100,67.03921967079862
0.25,5,2,ova,2,300,66.93761430603536
0.25,5,2,ova,3,100,66.1349319244056
0.25,5,2,ova,3,300,66.44990855517172
0.25,5,2,softmax,1,100,65.06807559439139
0.25,5,2,softmax,1,300,64.9156675472465
0.25,5,2,softmax,2,100,66.73440357650884
0.25,5,2,softmax,2,300,66.62263767526926
0.25,5,2,softmax,3,100,65.96220280430806
0.25,5,2,softmax,3,300,66.17557407031092
0.25,5,5,ova,1,100,64.9969518390571
0.25,5,5,ova,1,300,64.92582808372282
0.25,5,5,ova,2,100,67.00873806136964
0.25,5,5,ova,2,300,66.82584840479578
0.25,5,5,ova,3,100,66.07396870554766
0.25,5,5,ova,3,300,66.31782158097947
0.25,5,5,softmax,1,100,65.06807559439139
0.25,5,5,softmax,1,300,64.66165413533835
0.25,5,5,softmax,2,100,66.78520625889047
0.25,5,5,softmax,2,300,66.79536679536679
0.25,5,5,softmax,3,100,66.14509246088194
0.25,5,5,softmax,3,300,66.3279821174558
0.25,5,7,ova,1,100,65.04775452143873
0.25,5,7,ova,1,300,65.14935988620199
0.25,5,7,ova,2,100,66.99857752489332
0.25,5,7,ova,2,300,66.89697216013005
0.25,5,7,ova,3,100,66.25685836212152
0.25,5,7,ova,3,300,66.2873399715505
0.25,5,7,softmax,1,100,64.9969518390571
0.25,5,7,softmax,1,300,64.76325950010161
0.25,5,7,softmax,2,100,66.94777484251169
0.25,5,7,softmax,2,300,66.79536679536679
0.25,5,7,softmax,3,100,66.26701889859784
0.25,5,7,softmax,3,300,66.14509246088194
0.25,10,2,ova,1,100,65.4236943710628
0.25,10,2,ova,1,300,65.36273115220483
0.25,10,2,ova,2,100,66.67344035765089
0.25,10,2,ova,2,300,66.8360089412721
0.25,10,2,ova,3,100,65.1900020321073
0.25,10,2,ova,3,300,65.2306441780126
0.25,10,2,softmax,1,100,65.11887827677302
0.25,10,2,softmax,1,300,65.38305222515748
0.25,10,2,softmax,2,100,66.46006909164804
0.25,10,2,softmax,2,300,66.72424304003252
0.25,10,2,softmax,3,100,65.11887827677302
0.25,10,2,softmax,3,300,65.09855720382036
0.25,10,5,ova,1,100,65.47449705344442
0.25,10,5,ova,1,300,65.54562080877871
0.25,10,5,ova,2,100,66.62263767526926
0.25,10,5,ova,2,300,66.73440357650884
0.25,10,5,ova,3,100,65.24080471448893
0.25,10,5,ova,3,300,65.06807559439139
0.25,10,5,softmax,1,100,65.36273115220483
0.25,10,5,softmax,1,300,65.36273115220483
0.25,10,5,softmax,2,100,66.6023166023166
0.25,10,5,softmax,2,300,66.59215606584027
0.25,10,5,softmax,3,100,65.07823613086771
0.25,10,5,softmax,3,300,65.11887827677302
0.25,10,7,ova,1,100,65.52529973582605
0.25,10,7,ova,1,300,65.45417598049177
0.25,10,7,ova,2,100,66.81568786831944
0.25,10,7,ova,2,300,66.73440357650884
0.25,10,7,ova,3,100,65.07823613086771
0.25,10,7,ova,3,300,65.30176793334688
0.25,10,7,softmax,1,100,65.16968095915465
0.25,10,7,softmax,1,300,65.17984149563097
0.25,10,7,softmax,2,100,66.73440357650884
0.25,10,7,softmax,2,300,66.42958748221906
0.25,10,7,softmax,3,100,65.11887827677302
0.25,10,7,softmax,3,300,65.04775452143873
0.25,100,2,ova,1,100,65.26112578744157
0.25,100,2,ova,1,300,65.25096525096525
0.25,100,2,ova,2,100,64.3669985775249
0.25,100,2,ova,2,300,64.34667750457224
0.25,100,2,ova,3,100,63.20869741922373
0.25,100,2,ova,3,300,63.36110546636863
0.25,100,2,softmax,1,100,65.30176793334688
0.25,100,2,softmax,1,300,65.43385490753911
0.25,100,2,softmax,2,100,64.22475106685633
0.25,100,2,softmax,2,300,64.15362731152204
0.25,100,2,softmax,3,100,63.12741312741313
0.25,100,2,softmax,3,300,63.26966063808169
0.25,100,5,ova,1,100,65.29160739687056
0.25,100,5,ova,1,300,65.39321276163382
0.25,100,5,ova,2,100,64.41780125990653
0.25,100,5,ova,2,300,64.28571428571429
0.25,100,5,ova,3,100,63.28998171103434
0.25,100,5,ova,3,300,63.49319244056086
0.25,100,5,softmax,1,100,65.00711237553342
0.25,100,5,softmax,1,300,65.49481812639708
0.25,100,5,softmax,2,100,64.2552326762853
0.25,100,5,softmax,2,300,64.10282462914041
0.25,100,5,softmax,3,100,62.89372078845763
0.25,100,5,softmax,3,300,62.903881324933955
0.25,100,7,ova,1,100,65.39321276163382
0.25,100,7,ova,1,300,65.45417598049177
0.25,100,7,ova,2,100,64.27555374923796
0.25,100,7,ova,2,300,64.50924608819345
0.25,100,7,ova,3,100,63.26966063808169
0.25,100,7,ova,3,300,63.1578947368421
0.25,100,7,softmax,1,100,65.40337329811014
0.25,100,7,softmax,1,300,65.29160739687056
0.25,100,7,softmax,2,100,64.45844340581182
0.25,100,7,softmax,2,300,64.00121926437716
0.25,100,7,softmax,3,100,62.98516561674457
0.25,100,7,softmax,3,300,62.93436293436294
0.001,5,2,ova,1,100,54.19630156472262
0.001,5,2,ova,1,300,53.170087380613694
0.001,5,2,ova,2,100,46.90103637472058
0.001,5,2,ova,2,300,44.24913635439951
0.001,5,2,ova,3,100,40.15444015444015
0.001,5,2,ova,3,300,38.803088803088805
0.001,5,2,softmax,1,100,54.98882340987604
0.001,5,2,softmax,1,300,53.9524486892908
0.001,5,2,softmax,2,100,49.08555171713066
0.001,5,2,softmax,2,300,47.18553139605771
0.001,5,2,softmax,3,100,43.273724852672224
0.001,5,2,softmax,3,300,42.30847388742126
0.001,5,5,ova,1,100,54.09469619995936
0.001,5,5,ova,1,300,53.302174354805935
0.001,5,5,ova,2,100,46.86039422881528
0.001,5,5,ova,2,300,44.22881528144686
0.001,5,5,ova,3,100,40.19508230034546
0.001,5,5,ova,3,300,38.752286120707176
0.001,5,5,softmax,1,100,54.97866287339971
0.001,5,5,softmax,1,300,53.94228815281447
0.001,5,5,softmax,2,100,49.034749034749034
0.001,5,5,softmax,2,300,47.11440764072343
0.001,5,5,softmax,3,100,43.29404592562487
0.001,5,5,softmax,3,300,42.277992277992276
0.001,5,7,ova,1,100,54.08453566348303
0.001,5,7,ova,1,300,53.28185328185328
0.001,5,7,ova,2,100,46.94167852062589
0.001,5,7,ova,2,300,44.22881528144686
0.001,5,7,ova,3,100,40.225563909774436
0.001,5,7,ova,3,300,38.803088803088805
0.001,5,7,softmax,1,100,54.91769965454176
0.001,5,7,softmax,1,300,53.94228815281447
0.001,5,7,softmax,2,100,49.024588498272706
0.001,5,7,softmax,2,300,47.13472871367608
0.001,5,7,softmax,3,100,43.283885389148544
0.001,5,7,softmax,3,300,42.328794960373905
0.001,10,2,ova,1,100,60.88193456614509
0.001,10,2,ova,1,300,60.6482422271896
0.001,10,2,ova,2,100,59.03271692745377
0.001,10,2,ova,2,300,58.23003454582402
0.001,10,2,ova,3,100,55.009144482828695
0.001,10,2,ova,3,300,53.50538508433245
0.001,10,2,softmax,1,100,61.02418207681366
0.001,10,2,softmax,1,300,60.79048973785816
0.001,10,2,softmax,2,100,59.479780532412114
0.001,10,2,softmax,2,300,59.053038000406424
0.001,10,2,softmax,3,100,55.89311115626905
0.001,10,2,softmax,3,300,55.3241211135948
0.001,10,5,ova,1,100,61.02418207681366
0.001,10,5,ova,1,300,60.60760008128429
0.001,10,5,ova,2,100,58.94127209916684
0.001,10,5,ova,2,300,58.290997764681975
0.001,10,5,ova,3,100,54.97866287339971
0.001,10,5,ova,3,300,53.43426132899817
0.001,10,5,softmax,1,100,60.98353993090835
0.001,10,5,softmax,1,300,60.810810810810814
0.001,10,5,softmax,2,100,59.520422678317416
0.001,10,5,softmax,2,300,59.002235318024795
0.001,10,5,softmax,3,100,55.84230847388742
0.001,10,5,softmax,3,300,55.303800040642145
0.001,10,7,ova,1,100,60.98353993090835
0.001,10,7,ova,1,300,60.55679739890266
0.001,10,7,ova,2,100,58.94127209916684
0.001,10,7,ova,2,300,58.31131883763463
0.001,10,7,ova,3,100,54.97866287339971
0.001,10,7,ova,3,300,53.444421865474496
0.001,10,7,softmax,1,100,61.04450314976631
0.001,10,7,softmax,1,300,60.80065027433449
0.001,10,7,softmax,2,100,59.55090428774639
0.001,10,7,softmax,2,300,58.97175370859581
0.001,10,7,softmax,3,100,55.84230847388742
0.001,10,7,softmax,3,300,55.2834789676895
0.001,100,2,ova,1,100,65.586262954684
0.001,100,2,ova,1,300,65.57610241820768
0.001,100,2,ova,2,100,67.24243040032513
0.001,100,2,ova,2,300,67.27291200975411
0.001,100,2,ova,3,100,67.35419630156473
0.001,100,2,ova,3,300,67.40499898394636
0.001,100,2,softmax,1,100,65.43385490753911
0.001,100,2,softmax,1,300,65.52529973582605
0.001,100,2,softmax,2,100,67.05954074375127
0.001,100,2,softmax,2,300,67.03921967079862
0.001,100,2,softmax,3,100,67.22210932737248
0.001,100,2,softmax,3,300,67.1916277179435
0.001,100,5,ova,1,100,65.53546027230237
0.001,100,5,ova,1,300,65.57610241820768
0.001,100,5,ova,2,100,67.24243040032513
0.001,100,5,ova,2,300,67.26275147327779
0.001,100,5,ova,3,100,67.39483844747002
0.001,100,5,ova,3,300,67.35419630156473
0.001,100,5,softmax,1,100,65.43385490753911
0.001,100,5,softmax,1,300,65.4236943710628
0.001,100,5,softmax,2,100,67.00873806136964
0.001,100,5,softmax,2,300,67.0290591343223
0.001,100,5,softmax,3,100,67.23226986384881
0.001,100,5,softmax,3,300,67.10018288965658
0.001,100,7,ova,1,100,65.63706563706563
0.001,100,7,ova,1,300,65.62690510058931
0.001,100,7,ova,2,100,67.23226986384881
0.001,100,7,ova,2,300,67.27291200975411
0.001,100,7,ova,3,100,67.37451737451738
0.001,100,7,ova,3,300,67.34403576508839
0.001,100,7,softmax,1,100,65.44401544401545
0.001,100,7,softmax,1,300,65.54562080877871
0.001,100,7,softmax,2,100,67.03921967079862
0.001,100,7,softmax,2,300,67.13066449908555
0.001,100,7,softmax,3,100,67.21194879089616
0.001,100,7,softmax,3,300,67.14082503556187
0.1,5,2,ova,1,100,64.76325950010161
0.1,5,2,ova,1,300,65.00711237553342
0.1,5,2,ova,2,100,67.07986181670393
0.1,5,2,ova,2,300,66.96809591546433
0.1,5,2,ova,3,100,66.82584840479578
0.1,5,2,ova,3,300,66.7547246494615
0.1,5,2,softmax,1,100,64.93598862019914
0.1,5,2,softmax,1,300,64.70229628124365
0.1,5,2,softmax,2,100,66.7547246494615
0.1,5,2,softmax,2,300,66.79536679536679
0.1,5,2,softmax,3,100,66.65311928469823
0.1,5,2,softmax,3,300,66.521032310506
0.1,5,5,ova,1,100,64.82422271895956
0.1,5,5,ova,1,300,64.9563096931518
0.1,5,5,ova,2,100,67.13066449908555
0.1,5,5,ova,2,300,67.03921967079862
0.1,5,5,ova,3,100,66.66327982117456
0.1,5,5,ova,3,300,66.81568786831944
0.1,5,5,softmax,1,100,64.9156675472465
0.1,5,5,softmax,1,300,64.92582808372282
0.1,5,5,softmax,2,100,66.77504572241415
0.1,5,5,softmax,2,300,66.77504572241415
0.1,5,5,softmax,3,100,66.69376143060353
0.1,5,5,softmax,3,300,66.59215606584027
0.1,5,7,ova,1,100,64.85470432838854
0.1,5,7,ova,1,300,64.74293842714896
0.1,5,7,ova,2,100,67.07986181670393
0.1,5,7,ova,2,300,67.09002235318025
0.1,5,7,ova,3,100,66.69376143060353
0.1,5,7,ova,3,300,66.77504572241415
0.1,5,7,softmax,1,100,64.90550701077017
0.1,5,7,softmax,1,300,64.85470432838854
0.1,5,7,softmax,2,100,67.06970128022759
0.1,5,7,softmax,2,300,67.00873806136964
0.1,5,7,softmax,3,100,66.5616744564113
0.1,5,7,softmax,3,300,66.55151391993498
0.1,10,2,ova,1,100,65.46433651696809
0.1,10,2,ova,1,300,65.3119284698232
0.1,10,2,ova,2,100,67.07986181670393
0.1,10,2,ova,2,300,66.90713269660638
0.1,10,2,ova,3,100,65.56594188173136
0.1,10,2,ova,3,300,65.72851046535257
0.1,10,2,softmax,1,100,65.21032310505994
0.1,10,2,softmax,1,300,65.24080471448893
0.1,10,2,softmax,2,100,66.79536679536679
0.1,10,2,softmax,2,300,66.80552733184312
0.1,10,2,softmax,3,100,65.43385490753911
0.1,10,2,softmax,3,300,65.49481812639708
0.1,10,5,ova,1,100,65.30176793334688
0.1,10,5,ova,1,300,65.45417598049177
0.1,10,5,ova,2,100,66.93761430603536
0.1,10,5,ova,2,300,67.06970128022759
0.1,10,5,ova,3,100,65.55578134525503
0.1,10,5,ova,3,300,65.68786831944726
0.1,10,5,softmax,1,100,65.29160739687056
0.1,10,5,softmax,1,300,64.9969518390571
0.1,10,5,softmax,2,100,66.95793537898801
0.1,10,5,softmax,2,300,66.58199552936395
0.1,10,5,softmax,3,100,65.32208900629954
0.1,10,5,softmax,3,300,65.46433651696809
0.1,10,7,ova,1,100,65.32208900629954
0.1,10,7,ova,1,300,65.24080471448893
0.1,10,7,ova,2,100,67.10018288965658
0.1,10,7,ova,2,300,66.99857752489332
0.1,10,7,ova,3,100,65.53546027230237
0.1,10,7,ova,3,300,65.56594188173136
0.1,10,7,softmax,1,100,65.37289168868116
0.1,10,7,softmax,1,300,65.05791505791505
0.1,10,7,softmax,2,100,66.78520625889047
0.1,10,7,softmax,2,300,66.63279821174558
0.1,10,7,softmax,3,100,65.22048364153628
0.1,10,7,softmax,3,300,65.17984149563097
0.25,5,2,ova,1,100,64.86486486486487
0.25,5,2,ova,1,300,64.90550701077017
0.25,5,2,ova,2,100,67.05954074375127
0.25,5,2,ova,2,300,66.99857752489332
0.25,5,2,ova,3,100,66.12477138792929
0.25,5,2,ova,3,300,66.51087177402967
0.25,5,2,softmax,1,100,64.84454379191222
0.25,5,2,softmax,1,300,64.79374110953059
0.25,5,2,softmax,2,100,66.71408250355618
0.25,5,2,softmax,2,300,66.76488518593781
0.25,5,2,softmax,3,100,66.053647632595
0.25,5,2,softmax,3,300,66.06380816907132
0.25,5,5,ova,1,100,64.86486486486487
0.25,5,5,ova,1,300,65.28144686039423
0.25,5,5,ova,2,100,66.9172932330827
0.25,5,5,ova,2,300,66.9172932330827
0.25,5,5,ova,3,100,66.35846372688478
0.25,5,5,ova,3,300,66.48039016460069
0.25,5,5,softmax,1,100,65.12903881324934
0.25,5,5,softmax,1,300,64.96647022962813
0.25,5,5,softmax,2,100,66.61247713879293
0.25,5,5,softmax,2,300,66.59215606584027
0.25,5,5,softmax,3,100,66.053647632595
0.25,5,5,softmax,3,300,66.20605567973989
0.25,5,7,ova,1,100,64.75309896362528
0.25,5,7,ova,1,300,65.09855720382036
0.25,5,7,ova,2,100,67.17130664499085
0.25,5,7,ova,2,300,66.99857752489332
0.25,5,7,ova,3,100,66.2466978256452
0.25,5,7,ova,3,300,66.19589514326357
0.25,5,7,softmax,1,100,65.0375939849624
0.25,5,7,softmax,1,300,64.86486486486487
0.25,5,7,softmax,2,100,66.74456411298516
0.25,5,7,softmax,2,300,66.6429587482219
0.25,5,7,softmax,3,100,66.08412924202398
0.25,5,7,softmax,3,300,66.3279821174558
0.25,10,2,ova,1,100,65.4236943710628
0.25,10,2,ova,1,300,65.5049786628734
0.25,10,2,ova,2,100,66.76488518593781
0.25,10,2,ova,2,300,66.89697216013005
0.25,10,2,ova,3,100,65.06807559439139
0.25,10,2,ova,3,300,65.09855720382036
0.25,10,2,softmax,1,100,65.17984149563097
0.25,10,2,softmax,1,300,65.29160739687056
0.25,10,2,softmax,2,100,66.47022962812437
0.25,10,2,softmax,2,300,66.77504572241415
0.25,10,2,softmax,3,100,64.65149359886202
0.25,10,2,softmax,3,300,65.12903881324934
0.25,10,5,ova,1,100,65.41353383458646
0.25,10,5,ova,1,300,65.52529973582605
0.25,10,5,ova,2,100,66.84616947774842
0.25,10,5,ova,2,300,66.86649055070107
0.25,10,5,ova,3,100,65.24080471448893
0.25,10,5,ova,3,300,65.29160739687056
0.25,10,5,softmax,1,100,65.35257061572851
0.25,10,5,softmax,1,300,65.26112578744157
0.25,10,5,softmax,2,100,66.2466978256452
0.25,10,5,softmax,2,300,66.63279821174558
0.25,10,5,softmax,3,100,64.94614915667547
0.25,10,5,softmax,3,300,64.82422271895956
0.25,10,7,ova,1,100,65.40337329811014
0.25,10,7,ova,1,300,65.63706563706563
0.25,10,7,ova,2,100,66.87665108717741
0.25,10,7,ova,2,300,66.79536679536679
0.25,10,7,ova,3,100,65.13919934972567
0.25,10,7,ova,3,300,65.39321276163382
0.25,10,7,softmax,1,100,65.41353383458646
0.25,10,7,softmax,1,300,65.2712863239179
0.25,10,7,softmax,2,100,66.46006909164804
0.25,10,7,softmax,2,300,66.5616744564113
0.25,10,7,softmax,3,100,64.96647022962813
0.25,10,7,softmax,3,300,65.07823613086771
0.1,100,2,ova,1,100,65.33224954277586
0.1,100,2,ova,1,300,65.30176793334688
0.1,100,2,ova,2,100,63.88945336313758
0.1,100,2,ova,2,300,64.21459053038001
0.1,100,2,ova,3,100,63.28998171103434
0.1,100,2,ova,3,300,63.330623856939646
0.1,100,2,softmax,1,100,65.26112578744157
0.1,100,2,softmax,1,300,65.28144686039423
0.1,100,2,softmax,2,100,63.84881121723227
0.1,100,2,softmax,2,300,63.96057711847185
0.1,100,2,softmax,3,100,62.88356025198131
0.1,100,2,softmax,3,300,63.01564722617354
0.1,100,5,ova,1,100,65.38305222515748
0.1,100,5,ova,1,300,65.40337329811014
0.1,100,5,ova,2,100,64.08250355618776
0.1,100,5,ova,2,300,64.15362731152204
0.1,100,5,ova,3,100,63.17821580979476
0.1,100,5,ova,3,300,63.36110546636863
0.1,100,5,softmax,1,100,65.3119284698232
0.1,100,5,softmax,1,300,65.3119284698232
0.1,100,5,softmax,2,100,64.07234301971144
0.1,100,5,softmax,2,300,63.940256045519206
0.1,100,5,softmax,3,100,63.1172525909368
0.1,100,5,softmax,3,300,63.09693151798415
0.1,100,7,ova,1,100,65.37289168868116
0.1,100,7,ova,1,300,65.36273115220483
0.1,100,7,ova,2,100,64.04186141028246
0.1,100,7,ova,2,300,64.14346677504572
0.1,100,7,ova,3,100,63.3915870757976
0.1,100,7,ova,3,300,63.239179028652714
0.1,100,7,softmax,1,100,65.34241007925219
0.1,100,7,softmax,1,300,65.28144686039423
0.1,100,7,softmax,2,100,63.81832960780329
0.1,100,7,softmax,2,300,64.00121926437716
0.1,100,7,softmax,3,100,63.09693151798415
0.1,100,7,softmax,3,300,62.93436293436294
0.0005,200,2,ova,2,100,67.12050396260922
0.0005,200,2,ova,2,300,67.27291200975411
0.0005,200,2,ova,3,100,67.33387522861207
0.0005,200,2,ova,3,300,67.36435683804105
0.0005,200,2,softmax,2,100,67.12050396260922
0.0005,200,2,softmax,2,300,67.12050396260922
0.0005,200,2,softmax,3,100,67.22210932737248
0.0005,200,2,softmax,3,300,67.23226986384881
